cohort_year,investor_id,total_invested,avg_sip_amount,txn_count
2024,INV000001,237429,79143.0,3
2024,INV000002,681325,113554.16666666667,6
2024,INV000003,17861,8930.5,2
2024,INV000004,476881,52986.77777777778,9
2024,INV000005,1398173,174771.625,8
2024,INV000006,374177,62362.833333333336,6
2024,INV000007,82420,16484.0,5
2024,INV000008,948979,118622.375,8
2024,INV000009,581851,83121.57142857143,7
2024,INV000010,1321472,120133.81818181818,11
2024,INV000011,1099634,99966.72727272728,11
2024,INV000012,954446,86767.81818181818,11
2024,INV000013,865449,86544.9,10
2024,INV000014,1060830,96439.09090909091,11
2024,INV000016,655227,218409.0,3
2024,INV000017,805968,201492.0,4
2024,INV000018,420620,105155.0,4
2024,INV000019,218987,54746.75,4
2024,INV000020,1113745,185624.16666666666,6
2024,INV000021,807228,134538.0,6
2024,INV000022,1054287,175714.5,6
2024,INV000023,461628,46162.8,10
2024,INV000024,1254570,156821.25,8
2024,INV000025,13678,13678.0,1
2024,INV000026,826838,118119.71428571429,7
2024,INV000027,1465451,209350.14285714287,7
2024,INV000028,1065631,118403.44444444444,9
2024,INV000029,894277,81297.90909090909,11
2024,INV000030,1315849,109654.08333333333,12
2024,INV000031,542411,90401.83333333333,6
2024,INV000032,1231203,153900.375,8
2024,INV000033,1131799,102890.81818181818,11
2024,INV000034,296610,98870.0,3
2024,INV000035,1710,855.0,2
2024,INV000036,11059,5529.5,2
2024,INV000037,1139629,227925.8,5
2024,INV000038,793676,113382.28571428571,7
2024,INV000039,482497,60312.125,8
2024,INV000040,1480910,148091.0,10
2024,INV000041,1521738,253623.0,6
2024,INV000043,494094,164698.0,3
2024,INV000044,703471,117245.16666666667,6
2024,INV000045,1295094,129509.4,10
2024,INV000046,834098,119156.85714285714,7
2024,INV000047,917232,183446.4,5
2024,INV000048,208461,18951.0,11
2024,INV000049,37744,12581.333333333334,3
2024,INV000050,279000,93000.0,3
2024,INV000051,1256292,209382.0,6
2024,INV000052,1164105,116410.5,10
2024,INV000054,488684,69812.0,7
2024,INV000055,1966742,163895.16666666666,12
2024,INV000056,290649,36331.125,8
2024,INV000057,826946,75176.90909090909,11
2024,INV000058,537154,76736.28571428571,7
2024,INV000059,1764,1764.0,1
2024,INV000060,24574,12287.0,2
2024,INV000061,607545,121509.0,5
2024,INV000062,1245620,155702.5,8
2024,INV000063,9210,3070.0,3
2024,INV000064,473247,473247.0,1
2024,INV000065,431252,71875.33333333333,6
2024,INV000066,1210286,172898.0,7
2024,INV000067,538,538.0,1
2024,INV000069,691513,57626.083333333336,12
2024,INV000070,218564,54641.0,4
2024,INV000071,883938,126276.85714285714,7
2024,INV000072,1360992,136099.2,10
2024,INV000073,389007,38900.7,10
2024,INV000074,966394,87854.0,11
2024,INV000075,522440,74634.28571428571,7
2024,INV000076,779077,86564.11111111111,9
2024,INV000077,687684,343842.0,2
2024,INV000078,797804,199451.0,4
2024,INV000079,582247,64694.11111111111,9
2024,INV000080,424500,84900.0,5
2024,INV000081,1246072,113279.27272727272,11
2024,INV000082,467544,51949.333333333336,9
2024,INV000083,93284,46642.0,2
2024,INV000084,790760,112965.71428571429,7
2024,INV000085,1103908,137988.5,8
2024,INV000086,924447,77037.25,12
2024,INV000087,1535954,153595.4,10
2024,INV000088,456686,114171.5,4
2024,INV000089,1902611,172964.63636363635,11
2024,INV000090,1238312,176901.7142857143,7
2024,INV000091,983083,81923.58333333333,12
2024,INV000092,532320,106464.0,5
2024,INV000093,938401,93840.1,10
2024,INV000094,1072694,97517.63636363637,11
2024,INV000095,1454422,161602.44444444444,9
2024,INV000096,17236,8618.0,2
2024,INV000097,956579,86961.72727272728,11
2024,INV000098,263030,37575.71428571428,7
2024,INV000099,609026,76128.25,8
2024,INV000100,1666238,208279.75,8
2024,INV000101,1074030,89502.5,12
2024,INV000102,833234,75748.54545454546,11
2024,INV000103,812455,101556.875,8
2024,INV000104,1570044,130837.0,12
2024,INV000105,609014,60901.4,10
2024,INV000106,438624,109656.0,4
2024,INV000107,689715,137943.0,5
2024,INV000108,1510587,167843.0,9
2024,INV000109,370528,37052.8,10
2024,INV000110,16633,5544.333333333333,3
2024,INV000111,71275,35637.5,2
2024,INV000112,374488,93622.0,4
2024,INV000113,572762,63640.22222222222,9
2024,INV000114,933047,233261.75,4
2024,INV000115,734219,122369.83333333333,6
2024,INV000116,476636,95327.2,5
2024,INV000117,1343830,167978.75,8
2024,INV000118,64549,10758.166666666666,6
2024,INV000119,34154,17077.0,2
2024,INV000120,47430,11857.5,4
2024,INV000121,723039,180759.75,4
2024,INV000122,46110,46110.0,1
2024,INV000123,429370,47707.77777777778,9
2024,INV000124,620700,103450.0,6
2024,INV000125,766736,109533.71428571429,7
2024,INV000126,358987,119662.33333333333,3
2024,INV000127,624406,208135.33333333334,3
2024,INV000128,833586,83358.6,10
2024,INV000129,1611261,146478.27272727274,11
2024,INV000130,2281059,228105.9,10
2024,INV000131,1926246,160520.5,12
2024,INV000132,1102531,122503.44444444444,9
2024,INV000133,470935,67276.42857142857,7
2024,INV000134,14726,4908.666666666667,3
2024,INV000135,65453,16363.25,4
2024,INV000136,820,820.0,1
2024,INV000137,1432382,159153.55555555556,9
2024,INV000138,2106027,175502.25,12
2024,INV000139,6583,6583.0,1
2024,INV000140,762552,190638.0,4
2024,INV000142,145769,145769.0,1
2024,INV000143,597772,85396.0,7
2024,INV000144,614283,102380.5,6
2024,INV000145,788760,87640.0,9
2024,INV000146,378075,47259.375,8
2024,INV000147,577043,82434.71428571429,7
2024,INV000148,323740,32374.0,10
2024,INV000150,675917,75101.88888888889,9
2024,INV000151,999068,166511.33333333334,6
2024,INV000152,360590,180295.0,2
2024,INV000153,1274163,127416.3,10
2024,INV000154,1207941,134215.66666666666,9
2024,INV000155,288188,36023.5,8
2024,INV000156,611092,87298.85714285714,7
2024,INV000158,1335840,166980.0,8
2024,INV000159,38250,12750.0,3
2024,INV000160,684118,136823.6,5
2024,INV000161,908572,100952.44444444444,9
2024,INV000162,18379,9189.5,2
2024,INV000163,820316,82031.6,10
2024,INV000164,25253,4208.833333333333,6
2024,INV000165,1305699,145077.66666666666,9
2024,INV000166,724893,103556.14285714286,7
2024,INV000167,832173,92463.66666666667,9
2024,INV000168,253235,84411.66666666667,3
2024,INV000169,955776,79648.0,12
2024,INV000170,191963,63987.666666666664,3
2024,INV000171,498641,124660.25,4
2024,INV000172,264205,52841.0,5
2024,INV000173,1193694,108517.63636363637,11
2024,INV000174,1006601,125825.125,8
2024,INV000175,552311,46025.916666666664,12
2024,INV000176,213899,42779.8,5
2024,INV000177,1297837,117985.18181818182,11
2024,INV000178,8750,4375.0,2
2024,INV000179,264872,44145.333333333336,6
2024,INV000180,518114,64764.25,8
2024,INV000181,1237265,123726.5,10
2024,INV000182,686041,68604.1,10
2024,INV000183,779515,64959.583333333336,12
2024,INV000184,6111,6111.0,1
2024,INV000185,14773,7386.5,2
2024,INV000186,717823,358911.5,2
2024,INV000187,185221,185221.0,1
2024,INV000188,511402,255701.0,2
2024,INV000189,430516,71752.66666666667,6
2024,INV000190,919360,114920.0,8
2024,INV000191,873257,79387.0,11
2024,INV000192,702787,87848.375,8
2024,INV000193,1152639,128071.0,9
2024,INV000194,1383163,115263.58333333333,12
2024,INV000195,651434,65143.4,10
2024,INV000196,450427,50047.444444444445,9
2024,INV000197,673748,168437.0,4
